trial,status,error,lr,dropout,weight_decay,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50
6,ok,,0.01,0.3,0.001,3,6040,6040,6.931615421386181,2.2019867549668874,0.6125827814569537,0.25402166724572767,2.2019867549668874,0.5707811541485109,0.747264478249266,0.30638799813383305,2.6154256738724313,0.669237032772115,0.39249890972525076,0.16844964725543946,1.526384648931531,0.4098940293327043,0.8904479222881814,0.775716694772344,5.463161738368609,59.79635761589404,16.489429634527898,3.7236913113869403,2.9342327150084317,5.5545807731988885,62.33145695364238,12.768630831164751
7,ok,,0.01,0.7,0.0,3,6040,6040,6.9314796049070555,1.6887417218543046,0.347682119205298,0.17795593521748554,1.6887417218543046,0.45201422405626196,0.45369629036562586,0.2446609016973061,2.0549773151854818,0.567609039944017,0.17444395987788924,0.06895309640375348,1.0902747492368077,0.26312029682930255,0.7285483000539665,0.6745362563237773,4.948168054566294,63.104304635761586,12.502736626935961,3.1030760928224503,2.9342327150084317,4.779771103053565,67.95430463576159,10.218683962631413
25,ok,,0.0001,0.7,0.0,3,6040,6040,6.931833894420956,1.0927152317880795,0.2317880794701987,0.09751768762795285,1.0927152317880795,0.27797096934470167,0.24019215372297836,0.1144666353434184,1.0141446490525754,0.27122297880599705,0.2180549498473615,0.06982134785915675,1.2211077191452246,0.2889978862869285,0.6745817593092283,0.775716694772344,4.599294594438331,89.64403973509934,6.31373500502802,2.9681597409606044,3.102866779089376,4.221171772542464,86.50231788079469,5.612917142327634
26,ok,,0.0001,0.7,0.1,3,6040,6040,6.931551700311083,0.8609271523178808,0.26490066225165565,0.13256653603033103,0.8609271523178808,0.27344363351159295,0.10675206832132372,0.055020184458095825,0.773952495329597,0.21076332751878082,0.5233318796336677,0.2592853233574856,1.003052769297863,0.37586975935331435,1.7539125742039936,1.78752107925801,5.464433122020242,73.43708609271523,38.318589762569786,4.34430652995143,3.57504215851602,5.294091600340222,70.56158940397351,49.043138145103185
27,ok,,0.0001,0.7,0.001,3,6040,6040,6.931696756746759,0.5298013245033113,0.033112582781456956,0.012649170387528583,0.5298013245033113,0.11934315401687853,0.0,0.0,0.13344008540165467,0.026027298073462688,0.08722197993894462,0.033319227710716375,1.1774967291757523,0.27183094826894094,0.5666486778197518,0.7082630691399663,4.010167777781504,100.0,13.50779371173465,4.1824069077172155,4.688026981450253,3.893192340043752,92.47615894039734,18.00865423313582
23,ok,,0.0001,0.3,0.1,3,6040,6040,6.9315059842905065,0.4304635761589404,0.1490066225165563,0.0439058580467056,0.4304635761589404,0.12241628976970573,0.21350413664264745,0.06235518946451267,0.6405124099279423,0.1814661350321155,0.04361098996947231,0.013757735577223235,0.08722197993894462,0.02592271358206972,3.7506745817593092,3.406408094435076,4.4200034121910825,67.21688741721854,13.396721530800338,3.8046411225040475,3.473861720067454,4.863561593065439,75.11158940397351,52.06321460177718
3,ok,,0.01,0.1,0.001,3,6040,6040,6.931522444076063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
2,ok,,0.01,0.1,0.1,3,6040,6040,6.931472301483154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
5,ok,,0.01,0.3,0.1,3,6040,6040,6.931822891551924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.939017808958447,21.989881956155145,4.084865839406307,91.91225165562913,66.2620752087151,23.367512142471668,24.047217537942664,4.260412337875484,85.39105960264901,72.23599725405175
11,ok,,0.001,0.1,0.1,3,6040,6040,6.931491658400698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
9,ok,,0.01,0.7,0.001,3,6040,6040,6.93161670251506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
8,ok,,0.01,0.7,0.1,3,6040,6040,6.932127066173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.50080949811117,25.767284991568296,4.17359940607125,88.38907284768212,75.04825532493538,39.26065839179709,41.045531197301855,4.241586364543443,86.29900662251656,43.234832638621576
15,ok,,0.001,0.3,0.001,3,6040,6040,6.9314872570552275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
18,ok,,0.001,0.7,0.001,3,6040,6040,6.931505572251759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
17,ok,,0.001,0.7,0.1,3,6040,6040,6.931563467900288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
14,ok,,0.001,0.3,0.1,3,6040,6040,6.93152373509783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
20,ok,,0.0001,0.1,0.1,3,6040,6040,6.931473155733955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01187263896384,27.689713322091063,4.3960171029851445,82.82119205298014,82.52269738970423,40.447922288181324,42.86677908937605,4.399043953472592,85.14205298013245,45.66725807636674
