trial,status,error,method,lr,dropout,weight_decay,logq_weight,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
190,ok,,LogQ,0.0001,0.1,0.001,0.1,3,7102,7102,8.199102907764669,0.9433962264150944,0.21120811039143902,0.08284937422093733,0.9433962264150944,0.23290166731991352,0.3508771929824561,0.1402230007732602,1.5037593984962405,0.3757164657576603,0.032133676092544985,0.009288715498646783,0.2249357326478149,0.049794004798509255,22.941620153869362,15.386936189470507,3.489587960772272,40.52942833004787,98.43841509386372,41.74385276813999,32.323879921556795,3.435284140383185,43.42157138834131,96.87604194712245,7102,3990,3112
2,ok,,LogQ,0.1,0.1,0.0,1.0,3,7102,7102,8.418996428145844,0.9293156857223317,0.14080540692762603,0.05838520444087208,0.9293156857223317,0.22681705961971949,0.2506265664160401,0.1039227373280886,1.6541353383458646,0.4037229968469293,0.0,0.0,0.0,0.0,0.26851712173781866,0.00754261577915221,4.419139371851976,6.232047310616728,77.9420888241196,0.9956252828480916,0.01508523155830442,4.558587970608126,2.395381582652774,75.53727793900701,7102,3990,3112
97,ok,,LogQ,0.01,0.7,0.0,0.1,3,7102,7102,8.322123559964757,0.9293156857223317,0.11264432554210081,0.06292850729921529,0.9293156857223317,0.22735168393215782,0.20050125313283207,0.1120095886814604,1.6541353383458646,0.40467460132485833,0.0,0.0,0.0,0.0,0.09051138934982653,0.01508523155830442,4.336142406460849,12.802027597859759,20.904441451858613,0.3409262332176799,0.033941771006184944,4.515856124545922,5.134891579836666,13.065138314295355,7102,3990,3112
121,ok,,LogQ,0.001,0.1,0.0,0.1,3,7102,7102,7.98381486230967,0.915235145029569,0.18304702900591382,0.09570440417113729,0.915235145029569,0.25023319733094457,0.2255639097744361,0.10298355842946484,0.9273182957393483,0.2493185820880374,0.12853470437017994,0.08637155536306307,0.8997429305912596,0.25140585633454343,70.84024739779755,68.98853522401569,2.7075897369142536,73.12869614193185,99.9444769441011,98.49147684416955,98.49524815205913,2.690552834589441,73.68149816952972,99.7738902715619,7102,3990,3112
222,ok,,LogQ,0.0001,0.7,0.1,10.0,3,7102,7102,25.466437034866438,0.9011546043368065,0.16896648831315123,0.07638085487342089,0.9011546043368065,0.2386073997465534,0.30075187969924816,0.1359540930604098,1.5037593984962405,0.40540344223275987,0.0,0.0,0.12853470437017994,0.02475257663602514,0.05128978729823502,0.01508523155830442,4.037959763573224,19.967614756406647,3.871847290399122,0.20214210288127923,0.12068185246643535,3.59575121560169,43.07885102787947,2.576173504304924,7102,3990,3112
226,ok,,LogQ,0.0001,0.7,0.001,0.1,3,7102,7102,8.324657946216817,0.9011546043368065,0.28161081385525205,0.12219048476649963,0.9011546043368065,0.24554210115001412,0.5012531328320802,0.21749293804804018,1.5789473684210527,0.4319937578218523,0.0,0.0,0.032133676092544985,0.006486153167805264,0.0573238799215568,0.011313923668728316,4.613588505816835,9.978879188960855,5.049916418973288,0.20214210288127923,0.05279831045406547,4.210007996031725,20.56406646015207,2.7782030295390725,7102,3990,3112
14,ok,,LogQ,0.1,0.3,0.0,1.0,3,7102,7102,8.420814987753523,0.8870740636440438,0.07040270346381301,0.02882528063254158,0.8870740636440438,0.21187809829631282,0.12531328320802004,0.05130755464970183,1.5789473684210527,0.3771323945113818,0.0,0.0,0.0,0.0,0.05128978729823502,0.003771307889576105,4.269700778964002,9.991551675584343,3.8878064262548806,0.23532961230954894,0.003771307889576105,4.465358238166348,1.9983103351168687,2.4400711288397714,7102,3990,3112
62,ok,,LogQ,0.01,0.1,0.0,1.0,3,7102,7102,8.411249816012221,0.8870740636440438,0.09856378484933823,0.06386441871801751,0.8870740636440438,0.22754913043489342,0.17543859649122806,0.11367546409407528,1.5789473684210527,0.4050260462026599,0.0,0.0,0.0,0.0,0.7995172725901343,0.0,4.330716820485888,0.0,91.7853459345547,2.314074521043898,0.003771307889576105,4.400552064307674,0.010419600112644326,88.43588666419915,7102,3990,3112
108,ok,,LogQ,0.01,0.7,0.001,10.0,3,7102,7102,25.46579851422991,0.8729935229512813,0.07040270346381301,0.03924082998002556,0.8729935229512813,0.19786781014063778,0.02506265664160401,0.008927498423759955,0.7518796992481203,0.14756307234923186,0.12853470437017994,0.07810657320287252,1.0282776349614395,0.26236520853000467,0.07240911147986122,0.071654849901946,2.112680476161848,83.34131230639257,13.361168823283599,0.23834665862120982,0.2187358575954141,2.6068497143267098,74.13151225007041,0.5094007685940816,7102,3990,3112
143,ok,,LogQ,0.001,0.3,0.001,1.0,3,7102,7102,8.51779217622718,0.8729935229512813,0.14080540692762603,0.06015597117116949,0.8729935229512813,0.20934232255640675,0.2506265664160401,0.10707461334778087,1.5538847117794485,0.3726188408009025,0.0,0.0,0.0,0.0,0.042238648363252376,0.0,4.149700188887642,0.0,1.8516618904663718,0.21722733443958367,0.0,4.485798972166939,0.0,2.529023819373133,7102,3990,3112
