trial,status,error,lr,dropout,weight_decay,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
20,ok,,0.0001,0.1,0.1,3,7102,7102,8.317780870969603,0.14080540692762603,0.08448324415657561,0.0516211773408683,0.14080540692762603,0.06201734901553961,0.07550969041026932,0.05761552545476687,0.10067958721369243,0.06205276266566247,0.09587727708533077,0.04400994529979481,0.19175455417066153,0.061972383073724914,0.03922160205159149,0.03771307889576105,2.7911367632939474,80.36327794987328,0.9708375167470473,0.16593754714134862,0.17725147081007694,2.500871051020959,85.94198817234582,0.5008764596242221,7102,3973,3129
13,ok,,0.001,0.3,0.0,3,7102,7102,8.317737365255551,0.14080540692762603,0.056322162771050406,0.030829914396527113,0.14080540692762603,0.04763092221778309,0.0,0.0,0.07550969041026932,0.016271978544741657,0.1278363694471077,0.0699757277226384,0.22371364653243847,0.08744846239451486,0.600392216020516,0.6939206516820032,2.359080752611779,87.83863700366093,51.30859837804703,4.579876301101222,4.940413335344697,2.360162093943831,87.64770487186708,74.70350243981407,7102,3973,3129
23,ok,,0.0001,0.3,0.1,3,7102,7102,8.317818661125338,0.11264432554210081,0.028161081385525203,0.009387027128508401,0.11264432554210081,0.02777383723344152,0.05033979360684621,0.016779931202282067,0.12584948401711551,0.032554665873021506,0.0,0.0,0.09587727708533077,0.02170345302601061,0.03318750942826972,0.03017046311660884,2.4909547067905407,70.12531681216558,0.3925724543062614,0.16292050082968773,0.16970885503092473,2.366881278159016,82.0749084764855,0.32440201524045476,7102,3973,3129
26,ok,,0.0001,0.7,0.1,3,7102,7102,8.317882810320173,0.09856378484933823,0.028161081385525203,0.012954021119252961,0.09856378484933823,0.028492474032149738,0.025169896803423106,0.007275731847920661,0.07550969041026932,0.01846972720425421,0.03195909236177692,0.020163942268183365,0.1278363694471077,0.04121870386507686,0.05430683360989592,0.049027002564489365,2.6986933398067743,70.21120811039144,0.6217218028596649,0.2051591491929401,0.21119324181626187,2.5826991669686303,80.13489157983666,0.4763954735890086,7102,3973,3129
16,ok,,0.001,0.7,0.0,3,7102,7102,8.31788188908376,0.07040270346381301,0.014080540692762602,0.004441916034718794,0.07040270346381301,0.017409252153538286,0.025169896803423106,0.007940218393801378,0.07550969041026932,0.01926975235869652,0.0,0.0,0.06391818472355384,0.01504691041013987,0.03620455573993061,0.03771307889576105,2.4127484755671693,80.13658124471979,0.42818961921705645,0.1719716397646704,0.19233670236838135,2.420385391017652,89.45198535623769,1.0288985995245525,7102,3973,3129
5,ok,,0.01,0.3,0.1,3,7102,7102,8.31780956553764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
3,ok,,0.01,0.1,0.001,3,7102,7102,8.317781506752482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
2,ok,,0.01,0.1,0.1,3,7102,7102,8.317794449475347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
6,ok,,0.01,0.3,0.001,3,7102,7102,8.317811090119031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
11,ok,,0.001,0.1,0.1,3,7102,7102,8.317782285262128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
9,ok,,0.01,0.7,0.001,3,7102,7102,8.317842074802943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
8,ok,,0.01,0.7,0.1,3,7102,7102,8.317868933385732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
18,ok,,0.001,0.7,0.001,3,7102,7102,8.31782408474254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0140292653492233,2.658772062151154,2.8387930339342313,72.54716981132076,87.83731976620393,5.15613214662845,4.627394780509881,2.8106740964608266,73.15178822866798,56.45086712216949,7102,3973,3129
12,ok,,0.001,0.1,0.001,3,7102,7102,8.317769232250395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
17,ok,,0.001,0.7,0.1,3,7102,7102,8.318013762130219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
14,ok,,0.001,0.3,0.1,3,7102,7102,8.317801962093432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
15,ok,,0.001,0.3,0.001,3,7102,7102,8.317781117497658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146025041484386,0.8259164278171669,2.431775290545605,84.05378766544635,76.23699146216768,1.2098355709760145,1.2181324483330818,2.480338215210529,81.09236834694453,39.78453635799448,7102,3973,3129
